source;source_type;source_code;genus;species;common_name;type;count;date;period;town;country;number;sampling_allowed;notes;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;skeleton;;NA;NA;Inishcrone;Ireland;NH:2008.85.6;NA;probably recent stranding 1800s;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;teeth;25;1945;recent stranding;Carrowgarry;Ireland;NH:1945.23.2;Yes;1944, 25 teeth, including skull;
National Museum Ireland (NMI);email;NMI;Globicephala;NA;Long-finned pilot whale;skeleton;;1867;NA;Connemara;Ireland;NH:2008.85.369;NA;date unsure;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;skeleton;;NA;NA;Roundstone;Ireland;NH:1959.7.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;skeleton;;NA;NA;Roundstone;Ireland;NH:1959.7.2;NA;NA;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;skull;;1984;recent stranding;Thallabawn Beach;Ireland;NH:1984.171.1;Yes;NA;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;jaw;;1957;recent stranding;Fethard;Ireland;NH:1958.20.1;Yes;1900s;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;jaw;;1957;recent stranding;Fethard;Ireland;NH:1958.20.2;Yes;1900s;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;skeleton;;NA;NA;North Bull Island;Ireland;NH:1930.131.1;Yes;NA;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;skull;;1930;NA;Rosslare Strand;Ireland;NH:1930.106.1;Yes;found after erosion;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;skeleton;;NA;NA;;NA;NH:2004.14.2;NA;NA;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;skeleton;;NA;NA;Roundstone;Ireland;NH:1959.7.3;NA;NA;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;skull;;NA;NA;;NA;NH:1999.21.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;jaw;;1957;recent stranding;Fethard;Ireland;NH:1958.20.3;NA;NA;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;skeleton;;NA;NA;Roundstone;Ireland;NH:1959.7.4;NA;NA;
