Museum_Location,Registration Nr.,Length_Left_Maxillae,Length_Right_Maxillae,Rostrum_Length, Condylobasal_Length ,Width_Occipital_Condyles,Year,Date,Location,Country,Sex,Size (cm),Weight (kg),Life stage,Notes,,,
Rotterdam,9990-0315,20.344,20.840,9.937,25.649,6.356,1978,1978-08-08,"Vlieland, Vliehors",Netherlands,NA,NA,NA,adult,,,,
Rotterdam,9990-0319,21.927,22.176,10.629,25.925,6.925,1988,1988-03-18,"Friesland, Vlieland",Netherlands,M,115,24,juvenile,,,,
Rotterdam,9990-0321,19.597,19.432,9.487,25.046,6.861,1997,1997-00-00,North Sea,Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-0322,19.531,19.580,9.372,23.091,6.067,1998,1998-01-03,"Noord-Holland, Egmond aan Zee",Netherlands,M,115,20,NA,,,,
Rotterdam,9990-0320,19.282,19.517,8.834,23.423,6.268,1988,1988-11-18,"Zuid-Holland, Katwijk",Netherlands,M,130,30,adult,,,,
Rotterdam,9990-0295,18.675,18.680,8.842,22.632,6.735,1999,1999-01-22,"North Sea, bycatch 10km from the west side of West Kapelle",Netherlands,M,117,19,juvenile,called subadult,,,
Rotterdam,9990-0165,22.059,22.602,11.012,26.687,7.054,1996,1996-02-25,"Noord-Holland, Bloemendaal",Netherlands,F,162,51.5,adult,with fetus,,,
Rotterdam,9990-0299,19.694,19.924,9.222,23.765,6.300,1997,1997-03-22,"Zuid-Holland, Hoek van Holland",Netherlands,F,113.5,20,juvenile,,,,
Rotterdam,9990-0296,21.032,20.890,9.836,24.386,6.818,1999,1999-02-19,"North Sea, south Steenbank",Netherlands,F,122,24.8,NA,,,,
Rotterdam,9990-0297,20.707,20.732,9.487,24.082,6.502,1999,1999-01-16,"Zeeland, Zeeuws-Vlaanderen",Netherlands,F,146.5,40,adult,,,,
Rotterdam,9990-0301,NA,NA,NA,15.073,5.115,NA,NA,"North Sea, Dutch coast",Netherlands,F,85,12,NA,"fragmented skull, only occipital condyles measureable, I attempted to get condybasal length too but rostrum not complete",,,
Rotterdam,9990-0300,20.303,20.937,10.002,25.585,5.959,1999,1999-06-26,North Sea,Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-0303,18.929,19.203,8.931,24.363,6.825,1999,1999-05-07,"Zuid-Holland, Meyendaalse Slag",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-0302,21.804,21.725,9.828,26.239,7.151,1999,1999-01-24,"Zeeland, Burgluis",Netherlands,F,NA,NA,adult,weirdly slim skull,,,
Rotterdam,9990-01403,19.964,20.356,9.462,24.095,6.025,2000,2000-03-07,"Zuid-Holland, Wassenaarse Slag",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-01404,20.796,20.544,9.913,25.139,6.938,1999,1999-11-05,"Noord-Holland, Den Helder",Netherlands,NA,NA,NA,NA,,,,
